name,x,y,z,yaw,pitch,row
center,1.0,0.0,0.0,0,0,90
v0,1.0,0.5,-0.5,0,0,90
v1,1.0,0.5,-0.3,0,0,90
v2,1.0,0.5,-0.1,0,0,90
v3,1.0,0.5,0.1,0,0,90
v4,1.0,0.5,0.3,0,0,90
v5,1.0,0.5,0.5,0,0,90
v6,1.0,0.3,-0.5,0,0,90
v7,1.0,0.3,-0.3,0,0,90
v8,1.0,0.3,-0.1,0,0,90
v9,1.0,0.3,0.1,0,0,90
v10,1.0,0.3,0.3,0,0,90
v11,1.0,0.3,0.5,0,0,90
v12,1.0,0.1,-0.5,0,0,90
v13,1.0,0.1,-0.3,0,0,90
v14,1.0,0.1,-0.1,0,0,90
v15,1.0,0.1,0.1,0,0,90
v16,1.0,0.1,0.3,0,0,90
v17,1.0,0.1,0.5,0,0,90
v18,1.0,-0.1,-0.5,0,0,90
v19,1.0,-0.1,-0.3,0,0,90
v20,1.0,-0.1,-0.1,0,0,90
v21,1.0,-0.1,0.1,0,0,90
v22,1.0,-0.1,0.3,0,0,90
v23,1.0,-0.1,0.5,0,0,90
v24,1.0,-0.3,-0.5,0,0,90
v25,1.0,-0.3,-0.3,0,0,90
v26,1.0,-0.3,-0.1,0,0,90
v27,1.0,-0.3,0.1,0,0,90
v28,1.0,-0.3,0.3,0,0,90
v29,1.0,-0.3,0.5,0,0,90
v30,1.0,-0.5,-0.5,0,0,90
v31,1.0,-0.5,-0.3,0,0,90
v32,1.0,-0.5,-0.1,0,0,90
v33,1.0,-0.5,0.1,0,0,90
v34,1.0,-0.5,0.3,0,0,90
v35,1.0,-0.5,0.5,0,0,90
